time_s,transmitter,receiver,source_mac,dest_mac,packet_name,packet_bytes
263.520074995,uav3,uav2,0A-AA-00-00-00-06,0A-AA-00-00-00-05,"UavTelemetry-2335",236
263.520357174,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2335",236
263.530075347,uav4,uav5,0A-AA-00-00-00-07,0A-AA-00-00-00-08,"UavTelemetry-2335",236
263.530293923,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2335",236
263.540074576,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2335",236
263.550074675,uav6,uav2,0A-AA-00-00-00-09,0A-AA-00-00-00-05,"UavTelemetry-2335",236
263.550248033,gateway,uav2,0A-AA-00-00-00-02,0A-AA-00-00-00-05,"GcsCommand-467",136
263.550422212,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2335",236
263.600075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2336",236
263.600292358,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-467",136
263.600536033,uav1,uav3,0A-AA-00-00-00-04,0A-AA-00-00-00-06,"GcsCommand-467",136
263.610075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2336",236
263.620074995,uav3,uav2,0A-AA-00-00-00-06,0A-AA-00-00-00-05,"UavTelemetry-2336",236
263.620330174,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2336",236
263.630075353,uav4,uav5,0A-AA-00-00-00-07,0A-AA-00-00-00-08,"UavTelemetry-2336",236
263.630293926,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2336",236
263.640074573,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2336",236
263.650074675,uav6,uav2,0A-AA-00-00-00-09,0A-AA-00-00-00-05,"UavTelemetry-2336",236
263.650257854,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2336",236
263.650448033,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-467",136
263.650700839,uav1,uav4,0A-AA-00-00-00-04,0A-AA-00-00-00-07,"GcsCommand-467",136
263.700075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2337",236
263.700273750,gateway,uav5,0A-AA-00-00-00-02,0A-AA-00-00-00-08,"GcsCommand-467",136
263.710075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2337",236
263.720074995,uav3,uav2,0A-AA-00-00-00-06,0A-AA-00-00-00-05,"UavTelemetry-2337",236
263.720258174,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2337",236
263.730075359,uav4,uav5,0A-AA-00-00-00-07,0A-AA-00-00-00-08,"UavTelemetry-2337",236
263.730257930,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2337",236
263.740074571,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2337",236
263.750074675,uav6,uav2,0A-AA-00-00-00-09,0A-AA-00-00-00-05,"UavTelemetry-2337",236
263.750275033,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-467",136
263.750458746,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2337",236
263.750649920,uav1,uav6,0A-AA-00-00-00-04,0A-AA-00-00-00-09,"GcsCommand-467",136
263.800075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2338",236
263.810075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2338",236
263.820074995,uav3,uav2,0A-AA-00-00-00-06,0A-AA-00-00-00-05,"UavTelemetry-2338",236
263.820231174,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2338",236
263.830075364,uav4,uav5,0A-AA-00-00-00-07,0A-AA-00-00-00-08,"UavTelemetry-2338",236
263.830230933,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2338",236
263.840074568,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2338",236
263.850074675,uav6,uav2,0A-AA-00-00-00-09,0A-AA-00-00-00-05,"UavTelemetry-2338",236
263.850320854,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2338",236
263.900075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2339",236
263.910075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2339",236
263.920074995,uav3,uav2,0A-AA-00-00-00-06,0A-AA-00-00-00-05,"UavTelemetry-2339",236
263.920330174,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2339",236
263.930075370,uav4,uav5,0A-AA-00-00-00-07,0A-AA-00-00-00-08,"UavTelemetry-2339",236
263.930221936,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2339",236
263.940074565,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2339",236
263.950074675,uav6,uav2,0A-AA-00-00-00-09,0A-AA-00-00-00-05,"UavTelemetry-2339",236
263.950329854,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2339",236
264.000075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2340",236
264.000319358,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-468",136
264.010075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2340",236
264.020074995,uav3,uav2,0A-AA-00-00-00-06,0A-AA-00-00-00-05,"UavTelemetry-2340",236
264.020231174,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2340",236
264.030075374,uav4,uav5,0A-AA-00-00-00-07,0A-AA-00-00-00-08,"UavTelemetry-2340",236
264.030284938,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2340",236
264.040074564,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2340",236
264.050074675,uav6,uav2,0A-AA-00-00-00-09,0A-AA-00-00-00-05,"UavTelemetry-2340",236
264.050212033,gateway,uav2,0A-AA-00-00-00-02,0A-AA-00-00-00-05,"GcsCommand-468",136
264.050377212,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2340",236
264.100075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2341",236
264.100301358,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-468",136
264.100473033,uav1,uav3,0A-AA-00-00-00-04,0A-AA-00-00-00-06,"GcsCommand-468",136
