time_s,transmitter,receiver,source_mac,dest_mac,packet_name,packet_bytes
260.730266907,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2307",236
260.740074648,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2307",236
260.750074995,uav6,uav1,0A-AA-00-00-00-09,0A-AA-00-00-00-04,"UavTelemetry-2307",236
260.750230353,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-461",136
260.750449532,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2307",236
260.750622706,uav1,uav6,0A-AA-00-00-00-04,0A-AA-00-00-00-09,"GcsCommand-461",136
260.800075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2308",236
260.810075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2308",236
260.820074675,uav3,uav1,0A-AA-00-00-00-06,0A-AA-00-00-00-04,"UavTelemetry-2308",236
260.820248854,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2308",236
260.830074731,uav4,uav1,0A-AA-00-00-00-07,0A-AA-00-00-00-04,"UavTelemetry-2308",236
260.830338910,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2308",236
260.840074645,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2308",236
260.850074995,uav6,uav1,0A-AA-00-00-00-09,0A-AA-00-00-00-04,"UavTelemetry-2308",236
260.850249174,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2308",236
260.900075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2309",236
260.910075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2309",236
260.920074675,uav3,uav1,0A-AA-00-00-00-06,0A-AA-00-00-00-04,"UavTelemetry-2309",236
260.920230854,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2309",236
260.930074733,uav4,uav1,0A-AA-00-00-00-07,0A-AA-00-00-00-04,"UavTelemetry-2309",236
260.930320912,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2309",236
260.940074643,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2309",236
260.950074995,uav6,uav1,0A-AA-00-00-00-09,0A-AA-00-00-00-04,"UavTelemetry-2309",236
